================================================================================
  CLASSIFICATION REPORT - BioPlatform Caldas CNN
================================================================================

  Overall Accuracy:   0.8520 (85.2%)
  Top 5 Accuracy: 0.9453 (94.5%)
  Total Test Samples: 4,386
  Number of Classes:  719

────────────────────────────────────────────────────────────────────────────────
  F1-SCORE THRESHOLD SUMMARY  (F1 = harmonic mean of Precision & Recall)
────────────────────────────────────────────────────────────────────────────────
  F1 >= 0.9               =   288 species
  F1 >= 0.7 & < 0.9       =   331 species
  F1 >= 0.5 & < 0.7       =    85 species
  F1 < 0.5                =    15 species
────────────────────────────────────────────────────────────────────────────────

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.9  (288 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
  Basiliscus_galeritus                         1.0000     0.8000     0.8889          5
  Begonia_lehmannii                            1.0000     0.8000     0.8889          5
  Begonia_maurandiae                           1.0000     0.8000     0.8889          5
  Begonia_umbellata                            0.7143     0.8333     0.7692          6
  Besleria_cinnabarina                         0.8000     0.8000     0.8000          5
  Boana_pugnax                                 0.6667     0.8000     0.7273          5
  Bocconia_frutescens                          1.0000     0.8000     0.8889          5
  Bombus_funebris                              1.0000     0.8000     0.8889          5
  Bombus_hortulanus                            1.0000     0.8000     0.8889          5
  Bombus_rubicundus                            0.6667     0.8000     0.7273          5
  Bothriechis_schlegelii                       0.8000     0.8000     0.8000          5
  Burmeistera_bullatifolia                     0.8000     0.8000     0.8000          5
  Buteo_brachyurus                             1.0000     0.8000     0.8889          5
  Buteo_platypterus                            0.8000     0.8000     0.8000         10
  Buthraupis_montana                           0.8182     0.9000     0.8571         10
  Callianthe_megapotamica                      1.0000     0.8000     0.8889          5
  Callianthe_picta                             0.6667     0.8000     0.7273          5
  Calliphlox_mitchellii                        0.6250     1.0000     0.7692          5
  Caracara_plancus                             0.8750     0.8750     0.8750          8
  Cardellina_canadensis                        1.0000     0.8000     0.8889          5
  Castilia_eranites                            0.8000     0.8000     0.8000          5
  Castilleja_fissifolia                        0.8000     0.8000     0.8000          5
  Catamblyrhynchus_diadema                     0.7143     1.0000     0.8333          5
  Catasetum_tabulare                           0.7143     1.0000     0.8333          5
  Cathartes_aura                               1.0000     0.8000     0.8889          5
  Catharus_fuscater                            1.0000     0.8000     0.8889          5
  Catharus_ustulatus                           0.8333     0.8333     0.8333          6
  Centropogon_leucophyllus                     1.0000     0.8000     0.8889          5
  Ceroxylon_quindiuense                        0.6667     0.8000     0.7273          5
  Certhiaxis_cinnamomeus                       1.0000     0.8000     0.8889          5
  Chaetogastra_gracilis                        0.8000     0.8000     0.8000          5
  Chaetogastra_mollis                          0.6667     0.8000     0.7273          5
  Chamaedorea_pinnatifrons                     0.8000     0.8000     0.8000          5
  Chamaepetes_goudotii                         1.0000     0.7857     0.8800         14
  Chlorophanes_spiza                           1.0000     0.8000     0.8889         10
  Chlorospingus_flavopectus                    0.8000     0.8000     0.8000          5
  Chlosyne_lacinia                             0.8000     0.8000     0.8000          5
  Cinclodes_excelsior                          0.7143     1.0000     0.8333          5
  Cinnycerthia_olivascens                      1.0000     0.6000     0.7500          5
  Cistothorus_platensis                        0.8000     0.6667     0.7273          6
  Clathrus_archeri                             0.8000     0.8000     0.8000          5
  Clelia_equatoriana                           0.7143     1.0000     0.8333          5
  Cnemoscopus_rubrirostris                     1.0000     0.6667     0.8000          6
  Coeligena_torquata                           0.8462     0.7333     0.7857         15
  Coeligena_wilsoni                            0.7143     1.0000     0.8333          5
